Anime,Character,Role,Favorites,char_url
Sousou no Frieren,Fern,Main,3458,https://myanimelist.net/character/188176/Fern
Sousou no Frieren,Frieren,Main,19949,https://myanimelist.net/character/184947/Frieren
Sousou no Frieren,Stark,Main,1833,https://myanimelist.net/character/188177/Stark
Bleach: Sennen Kessen-hen - Soukoku-tan,"Ishida, Uryuu",Main,1716,https://myanimelist.net/character/564/Uryuu_Ishida
Bleach: Sennen Kessen-hen - Soukoku-tan,"Kurosaki, Ichigo",Main,34333,https://myanimelist.net/character/5/Ichigo_Kurosaki
Fullmetal Alchemist: Brotherhood,"Elric, Alphonse",Main,14807,https://myanimelist.net/character/12/Alphonse_Elric
Fullmetal Alchemist: Brotherhood,"Elric, Edward",Main,87833,https://myanimelist.net/character/11/Edward_Elric
Steins;Gate,"Hashida, Itaru",Main,1674,https://myanimelist.net/character/35258/Itaru_Hashida
Steins;Gate,"Makise, Kurisu",Main,65803,https://myanimelist.net/character/34470/Kurisu_Makise
Steins;Gate,"Okabe, Rintarou",Main,95453,https://myanimelist.net/character/35252/Rintarou_Okabe
Steins;Gate,"Shiina, Mayuri",Main,12180,https://myanimelist.net/character/35253/Mayuri_Shiina
Gintama°,Kagura,Main,12513,https://myanimelist.net/character/674/Kagura
Gintama°,"Sakata, Gintoki",Main,74001,https://myanimelist.net/character/672/Gintoki_Sakata
Gintama°,"Shimura, Shinpachi",Main,1787,https://myanimelist.net/character/673/Shinpachi_Shimura
Shingeki no Kyojin Season 3 Part 2,"Ackerman, Mikasa",Main,55001,https://myanimelist.net/character/40881/Mikasa_Ackerman
Shingeki no Kyojin Season 3 Part 2,"Arlert, Armin",Main,20688,https://myanimelist.net/character/46494/Armin_Arlert
Shingeki no Kyojin Season 3 Part 2,Levi,Main,141728,https://myanimelist.net/character/45627/Levi
Shingeki no Kyojin Season 3 Part 2,"Yeager, Eren",Main,70896,https://myanimelist.net/character/40882/Eren_Yeager
Hunter x Hunter (2011),"Freecss, Gon",Main,21966,https://myanimelist.net/character/30/Gon_Freecss
Hunter x Hunter (2011),Kurapika,Main,24285,https://myanimelist.net/character/28/Kurapika
Hunter x Hunter (2011),"Paladiknight, Leorio",Main,7244,https://myanimelist.net/character/29/Leorio_Paladiknight
Hunter x Hunter (2011),"Zoldyck, Killua",Main,97290,https://myanimelist.net/character/27/Killua_Zoldyck
Monogatari Series: Off & Monster Season,"Araragi, Tsukihi",Main,1325,https://myanimelist.net/character/24195/Tsukihi_Araragi
Monogatari Series: Off & Monster Season,"Araragi, Koyomi",Main,29167,https://myanimelist.net/character/22036/Koyomi_Araragi
Monogatari Series: Off & Monster Season,"Kanbaru, Suruga",Main,5007,https://myanimelist.net/character/22054/Suruga_Kanbaru
Monogatari Series: Off & Monster Season,"Oikura, Sodachi",Main,1065,https://myanimelist.net/character/130739/Sodachi_Oikura
Monogatari Series: Off & Monster Season,"Ononoki, Yotsugi",Main,3774,https://myanimelist.net/character/57499/Yotsugi_Ononoki
Monogatari Series: Off & Monster Season,"Oshino, Ougi",Main,4298,https://myanimelist.net/character/90393/Ougi_Oshino
Monogatari Series: Off & Monster Season,"Oshino, Shinobu",Main,32730,https://myanimelist.net/character/23602/Shinobu_Oshino
Monogatari Series: Off & Monster Season,"Sengoku, Nadeko",Main,4493,https://myanimelist.net/character/22050/Nadeko_Sengoku
Kaguya-sama wa Kokurasetai: Ultra Romantic,"Fujiwara, Chika",Main,16047,https://myanimelist.net/character/140810/Chika_Fujiwara
Kaguya-sama wa Kokurasetai: Ultra Romantic,"Iino, Miko",Main,2968,https://myanimelist.net/character/152052/Miko_Iino
Kaguya-sama wa Kokurasetai: Ultra Romantic,"Ishigami, Yuu",Main,21781,https://myanimelist.net/character/143185/Yuu_Ishigami
