faiss_index,img_index
0,23107
1,4040
2,18390
3,14968
4,3887
5,2317
6,2465
7,32907
8,10297
9,26729
10,28461
11,12929
12,18120
13,30272
14,15928
15,9994
16,21438
17,29341
18,2198
19,4684
20,34866
21,8344
22,13846
23,3043
24,18614
25,23215
26,11989
27,4854
28,32571
29,12289
30,33947
31,21544
32,28682
33,9614
34,27943
35,24915
36,17114
37,10592
38,10440
39,33613
40,35300
41,2419
42,22325
43,8969
44,33522
45,1746
46,13914
47,15460
48,20562
49,31196
50,38942
51,28187
52,2229
53,39215
54,35997
55,24362
56,30459
57,37143
58,2087
59,30417
60,30691
61,33879
62,38213
63,16997
64,27177
65,16070
66,37132
67,29195
68,13042
69,11270
70,8987
71,3787
72,40312
73,24350
74,23401
75,8296
76,28840
77,9209
78,14805
79,36126
80,21120
81,11535
82,2821
83,11860
84,6924
85,30337
86,6098
87,11633
88,10669
89,854
90,37098
91,12591
92,31958
93,38769
94,28119
95,30776
96,24887
97,23391
98,38510
99,14545
100,32479
101,37735
102,21001
103,37441
104,37577
105,5289
106,15093
107,34457
108,23034
109,34442
110,21356
111,33641
112,7032
113,20168
114,1067
115,10803
116,8569
117,36974
118,28663
119,34029
120,5221
121,28593
122,5715
123,35944
124,27475
125,20946
126,4313
127,14562
128,31728
129,25090
130,33834
131,39034
132,35215
133,1850
134,30592
135,14519
136,22851
137,29695
138,501
139,16903
140,19941
141,24566
142,10294
143,15385
144,34083
145,26471
146,35197
147,14986
148,33114
149,29965
150,8514
151,32047
152,35718
153,39311
154,1903
155,7860
156,24479
157,30986
158,9839
159,34751
160,40234
161,11400
162,31505
163,4404
164,4727
165,16058
166,6473
167,14259
168,2072
169,36286
170,25583
171,39017
172,14704
173,8316
174,34424
175,39145
176,13779
177,28764
178,25362
179,21320
180,100
181,24301
182,364
183,36879
184,20146
185,25211
186,40457
187,3665
188,31249
189,20697
190,7402
191,12042
192,34956
193,36972
194,1351
195,12738
196,488
197,10271
198,24208
199,7613
200,29502
201,25195
202,29540
203,20297
204,18768
205,9106
206,16136
207,39948
208,23090
209,27217
210,748
211,113
212,36127
213,19100
214,17139
215,18933
216,5909
217,12419
218,40202
219,4914
220,30404
221,6184
222,2811
223,10483
224,4268
225,15745
226,14591
227,2486
228,35998
229,9289
230,37664
231,38433
232,7068
233,24729
234,10325
235,2750
236,8435
237,35516
238,20592
239,39009
240,21778
241,32056
242,13556
243,37317
244,10275
245,18021
246,22733
247,7062
248,5535
249,35121
250,20715
251,37651
252,4970
253,16505
254,17926
255,24407
256,36786
257,1537
258,37368
259,22495
260,3193
261,17071
262,30082
263,27881
264,36690
265,38489
266,26007
267,28204
268,25105
269,26946
270,25578
271,33840
272,37081
273,19703
274,36772
275,21940
276,30720
277,12856
278,24938
279,1570
280,24465
281,38928
282,31042
283,28860
284,23857
285,37528
286,33094
287,35560
288,10310
289,21886
290,136
291,4008
292,21368
293,30908
294,13730
295,32777
296,37576
297,1036
298,28803
299,6755
300,31225
301,33578
302,15308
303,936
304,21568
305,10846
306,16562
307,31063
308,27309
309,25000
310,4452
311,3253
312,6651
313,16258
314,10288
315,11722
316,14437
317,6521
318,32160
319,711
320,29377
321,13193
322,22377
323,3139
324,34371
325,8820
326,10544
327,4652
328,34195
329,35038
330,37181
331,38876
332,38096
333,25112
334,18319
335,20630
336,26875
337,8622
338,11193
339,16917
340,4457
341,34994
342,30317
343,12813
344,14955
345,8114
346,1716
347,13605
348,34941
349,540
350,37377
351,2794
352,28886
353,11524
354,24883
355,20467
356,11509
357,17061
358,15049
359,28573
360,15759
361,8100
362,11925
363,28735
364,3134
365,34043
366,4832
367,24187
368,7320
369,18302
370,40447
371,122
372,17530
373,237
374,9675
375,4894
376,16124
377,26843
378,3230
379,26830
380,6613
381,39366
382,35821
383,35531
384,20310
385,38506
386,36109
387,35908
388,17098
389,22353
390,32141
391,19003
392,39787
393,16591
394,40147
395,13746
396,36676
397,30364
398,20899
399,38930
400,2224
401,14907
402,16842
403,17774
404,32517
405,31031
406,29596
407,27690
408,30527
409,33793
410,40231
411,28590
412,24985
413,4392
414,9512
415,21016
416,29083
417,39388
418,25072
419,4647
420,5053
421,25575
422,26180
423,3564
424,33345
425,32433
426,3746
427,13798
428,24831
429,32163
430,2457
431,15360
432,9368
433,25386
434,3444
435,31985
436,16033
437,26409
438,3694
439,17509
440,30299
441,18113
442,15146
443,3722
444,12237
445,29164
446,37770
447,17431
448,25767
449,2455
450,13497
451,31232
452,2197
453,36646
454,12600
455,24586
456,39038
457,6725
458,1793
459,10150
460,22408
461,35073
462,16686
463,18378
464,34395
465,1110
466,16294
467,35555
468,4697
469,25272
470,34488
471,3643
472,34844
473,4425
474,38556
475,5826
476,20986
477,20828
478,33436
479,11160
480,34274
481,21670
482,3351
483,28756
484,9890
485,33674
486,14469
487,36990
488,22531
489,26380
490,9376
491,18659
492,11156
493,31015
494,26663
495,32170
496,5020
497,34451
498,40198
499,25775
500,15299
501,14314
502,7547
503,34423
504,32171
505,31141
506,7278
507,24035
508,18596
509,4971
510,32568
511,1646
512,40318
513,2614
514,32541
515,21842
516,11256
517,4277
518,7528
519,13099
520,24855
521,6170
522,28294
523,11575
524,33978
525,29465
526,23927
527,10454
528,39577
529,14155
530,33327
531,4181
532,3776
